Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2017,2016-17,2,Rock,413,Beloit,2017,495,437,58,224,,68,5,8,20,11,,37,1,2,,,,1,,1,4,,2,1,10,2,,2
2017,2016-17,1,Waukesha,3857,Muskego-Norway,2017,423,405,18,301,,41,,26,26,18,,123,1,,2,,,4,,,7,3,2,1,9,12,,
2019,2018-19,11,Polk,5019,Saint Croix Falls,2019,75,72,3,50,,5,5,1,3,6,,9,,,3,,,1,,,,1,,,11,,,
2017,2016-17,8,Oconto,4067,Oconto Unified,2017,92,78,14,45,,7,1,5,6,2,,5,,,4,,,1,,,4,2,,,1,,,
2020,2019-20,7,Calumet,658,Brillion,2020,73,68,5,55,,16,,3,3,5,,22,,,,,,1,,,,,,,1,1,,
2020,2019-20,1,Waukesha,3822,Mukwonago,2020,387,373,14,298,,35,3,23,6,42,,116,,2,6,,1,11,,1,2,4,3,1,23,1,,
2017,2016-17,2,Dane,6181,Waunakee Community,2017,297,286,11,236,,37,1,11,17,30,,91,2,,4,,,6,,2,1,,1,1,12,2,,
2018,2017-18,8,Oconto,2128,Gillett,2018,44,42,2,11,,2,,,1,,,1,,,,,,,,,,,,,,1,,
2020,2019-20,7,Brown,1414,De Pere,2020,329,318,11,227,,31,,14,11,25,,107,,,,,,6,,,3,2,1,1,10,2,,
2021,2020-21,4,La Crosse,2562,Holmen,2021,278,266,12,99,,47,1,5,2,7,,31,,,,,,1,,,,,,,5,,,
2021,2020-21,9,Lincoln,5754,Tomahawk,2021,80,73,7,61,,14,1,2,2,7,,33,,,,,,,,,,,,,1,,,
2017,2016-17,11,Washburn,5474,Spooner Area,2017,94,80,14,46,,9,2,2,,6,,18,1,,,,,,,,,,,1,1,,,1
2018,2017-18,7,Brown,2604,Howard-Suamico,2018,472,442,30,392,,91,3,13,46,26,,130,,2,4,,,11,,3,6,2,2,,9,9,,1
2020,2019-20,1,Ozaukee,2217,Grafton,2020,181,173,8,134,,22,,12,3,10,,62,,,1,,,2,,1,2,3,,,9,2,,
2021,2020-21,2,Dane,5901,Verona Area,2021,395,378,17,241,,54,2,8,3,31,,106,,,,,,,,2,1,,3,,22,,,
2020,2019-20,2,Green,3934,New Glarus,2020,60,59,1,37,,9,,3,,5,,9,,,,,,,,1,,,,,6,,,
2021,2020-21,10,Rusk,2856,Ladysmith,2021,60,55,5,31,,13,,1,1,5,,8,,,,,,,,,,,1,,,,,
2021,2020-21,6,Fond du Lac,3983,North Fond du Lac,2021,100,95,5,37,,5,,4,,4,,19,,,1,,,,,,,,,,3,1,,
2018,2017-18,1,Ozaukee,1945,Northern Ozaukee,2018,86,79,7,58,,7,,6,5,1,,15,,1,2,,,,,,1,,3,1,,3,,1
2020,2019-20,9,Vilas,4330,Phelps,2020,17,17,,7,,1,,,1,,,4,,,,,,,,,,,,,,,,
